id,slug,title,description,published_at,created_at,kind
24209294,US-Treasury-Secretary-says-no-purchases-for-strategic-bitcoin-reserve,US Treasury Secretary says no purchases for strategic bitcoin reserve,"Scott Bessent confirmed a disappointing amount of US government bitcoin this morning, putting the number at $15B to $20B.",2025-08-14T16:35:30Z,2025-08-14T16:35:30+00:00,news
24209280,Ethereum-Suited-for-Meteoric-Stablecoin-Growth-JPMorgan-Says,"Ethereum Suited for 'Meteoric' Stablecoin Growth, JPMorgan Says",Ethereum’s price has increased 50% over the past month.,2025-08-14T16:31:17Z,2025-08-14T16:31:17+00:00,news
24209225,Ethereums-Moment-Why-10K-ETH-Is-Back-on-the-Table,Ethereum’s Moment? Why $10K ETH Is Back on the Table,"Even amid the institutional hostility of the Biden era, Ethereum kept building its ecosystem, now dominating DeFi and stablecoin markets with analysts forecasting new all-time highs.",2025-08-14T16:23:24Z,2025-08-14T16:23:24+00:00,news
24209207,Wall-Street-debates-Strategys-Bitcoin-blueprint,Wall Street debates Strategy's Bitcoin blueprint,"Strategy’s preferred share model fuels bitcoin growth, but critics warn premium could collapse.",2025-08-14T16:22:24Z,2025-08-14T16:22:24+00:00,news
24206347,US-Will-Not-Be-Purchasing-Any-Bitcoin-Treasury-Secretary-Bessent-Says,"U.S. Will Not Be Purchasing Any Bitcoin, Treasury Secretary Bessent Says",The White House has repeatedly floated the idea that the federal government could—and should—purchase additional Bitcoin to supplement existing reserves.,2025-08-14T14:48:40Z,2025-08-14T14:48:40+00:00,news
24204674,BREAKING-US-Wont-Be-Buying-New-Bitcoin,BREAKING: U.S. Won’t Be Buying New Bitcoin!,Treasury Secretary Scott Bessent confirmed that the U. S. government will not purchase any more Bitcoin. .,2025-08-14T13:34:47Z,2025-08-14T13:34:47+00:00,news
24204634,Ethereum-validator-exit-queue-climbs-to-over-3-billion-in-ETH-amid-increased-stake-withdrawals,Ethereum validator exit queue climbs to over $3 billion in ETH amid increased stake withdrawals,"Ethereum’s validator exit queue climbed to over 670,000 ETH with a 12-day wait, as staking entries fell and analysts pointed to leverage unwinds.",2025-08-14T13:31:13Z,2025-08-14T13:31:13+00:00,news
24200726,Cardano-Hits-5-Month-High-As-Bitcoin-Ethereum-Hover-Near-Record-Price,"Cardano Hits 5-Month High As Bitcoin, Ethereum Hover Near Record Price","ADA jumped double digits on the day as it surged to a five-month high, following a BTC all-time high and ETH closing in on its peak.",2025-08-14T11:27:19Z,2025-08-14T11:27:19+00:00,news
24197366,ADA-Rockets-to-5-Month-Peak-BTC-Price-Corrects-After-Latest-ATH-Market-Watch,"ADA Rockets to 5-Month Peak, BTC Price Corrects After Latest ATH: Market Watch",ADA topped $1 for the first time since early March.,2025-08-14T09:35:42Z,2025-08-14T09:35:42+00:00,news
24182684,ETH-transaction-count-rising-amid-5K-push-but-competition-erodes-market-share,"ETH transaction count rising amid $5K push, but competition erodes market share",The network is facing competition from next-generation layer-1 blockchains and layer-2 networks from within its own ecosystem.,2025-08-13T21:25:45Z,2025-08-13T21:25:45+00:00,news
